id,answer
Q1_A-1,$v=\sqrt{\frac{e^{2}}{4 \pi \varepsilon_{0} m_{e} r}}$
Q1_A-2.1,$\begin{array}{l}r_{n}=\frac{\hbar n^{2}}{\alpha m_{e} c} \text { and then } r_{1}=\frac{\hbar}{\alpha m_{e} c} \\ r_{1}=5.31 \times 10^{-11} \mathrm{~m}\end{array}$
Q1_A-2.2,$v_{1}=\frac{e^{2}}{4 \pi \varepsilon_{0} \hbar}=\alpha c$
Q1_A-3.1,$E_{n}=-\frac{e^{2}}{8 \pi \varepsilon_{0} n^{2} r_{1}}$
Q1_A-3.2,$E_{1}=-\frac{1}{2} \alpha^{2} m_{e} c^{2}$
Q1_A-3.3,$E_{1}=-13.6 \mathrm{eV}$
Q1_A-4,$B_{1}=\frac{\mu_{0} e \alpha c}{4 \pi r_{1}^{2}}$
Q1_A-5.1,$\Delta E_{\mathrm{F}}=-4 \alpha^{2} E_{1}$
Q1_A-5.2,$\lambda_{\mathrm{HF}}=-\frac{h c}{3.72 \cdot \frac{m_{e}}{m_{p}} 4 \alpha^{2} E_{1}} \quad \lambda_{\mathrm{HF}}=21 \mathrm{~cm}$
Q1_B-1,$v_{c}=\sqrt{r \frac{d \varphi}{d r}}$
Q1_B-2,$M_{b} \simeq 9.10^{8} M_{\odot}$
Q1_B-3.1,$k_{1}=4 \pi C_{m} G \quad k_{2}=4 \pi C_{m} G r_{m}$
Q1_B-3.2,"$\begin{aligned} & v_{c, m} \simeq \sqrt{\frac{4 \pi C_{m} G r^{2}}{3 r_{m}^{2}}} \\ v_{c, m} \simeq \sqrt{4 \pi C_{m} G} & \end{aligned}$"
Q1_B-3.3,$M_{\mathrm{int}} \simeq 4 \pi C_{m} r$ if $r \gg r_{m}$
Q1_B-3.4,$M_{\text {in the figure }} \simeq 4 \pi C_{m} R \simeq 10^{41} \mathrm{~kg} \simeq 10^{11} \mathrm{M}_{\odot}$
Q1_C-1.1,$\ddot{z}=\frac{2 z}{z_{0}^{2}} \varphi_{0} \ln \left(\frac{r}{r_{0}}\right) \exp \left[-\left(\frac{z}{z_{0}}\right)^{2}\right]$
